,Metro Area,I,U,K,GDP,POP,FIPS,Type
47,"Akron, OH",626,113684,357.5,32080122,704382,10420,Metropolitan Statistical Area
31,"Albany-Schenectady-Troy, NY",1256,241047,1387,50654280,879085,10580,Metropolitan Statistical Area
69,"Albuquerque, NM",385,232271,314,37189493,906026,10740,Metropolitan Statistical Area
50,"Allentown-Bethlehem-Easton, PA-NJ",567,37863,248,39178397,830295,10900,Metropolitan Statistical Area
63,"Ann Arbor, MI",437,1371039,714.5,20096509,362975,11460,Metropolitan Statistical Area
17,"Baltimore-Columbia-Towson, MD",2971,1436,824.1666666,171574554,2790053,12580,Metropolitan Statistical Area
44,"Bloomington, IL",713,345,192,11869056,173141,14010,Metropolitan Statistical Area
30,"Boise City, ID",1416,858,497,26920017,674640,14260,Metropolitan Statistical Area
2,"Boston-Cambridge-Newton, MA-NH",20282,14726,5507.5,381287879,4778340,14460,Metropolitan Statistical Area
33,"Boulder, CO",1160,420775,735.5,22669578,318027,14500,Metropolitan Statistical Area
24,"Bridgeport-Stamford-Norwalk, CT",1683,6954,648,78667116,944943,14860,Metropolitan Statistical Area
42,"Cedar Rapids, IA",773,433,197.5,16794211,266312,16300,Metropolitan Statistical Area
76,"Charleston-North Charleston, SC",315,254524,114,33460560,745185,16700,Metropolitan Statistical Area
25,"Charlotte-Concord-Gastonia, NC-SC",1565,1026,555,136879027,2447898,16740,Metropolitan Statistical Area
7,"Chicago-Naperville-Elgin, IL-IN-WI",9450,7693,2757,589049966,9552554,16980,Metropolitan Statistical Area
16,"Cincinnati, OH-KY-IN",3595,0,1148.5,117808842,2181427,17140,Metropolitan Statistical Area
32,"Cleveland-Elyria, OH",1254,201,787,115773490,2064012,17460,Metropolitan Statistical Area
61,"Colorado Springs, CO",447,47561,190,31033614,697389,17820,Metropolitan Statistical Area
66,"Columbus, IN",419,0,108,5804117,81458,18020,Metropolitan Statistical Area
23,"Columbus, OH",1792,819134,457.0000001,108502678,2027568,18140,Metropolitan Statistical Area
11,"Dallas-Fort Worth-Arlington, TX",5520,748804,2063.183333,425323274,7042566,19100,Metropolitan Statistical Area
72,"Davenport-Moline-Rock Island, IA-IL",374,2193,100,20265104,383381,19340,Metropolitan Statistical Area
22,"Denver-Aurora-Lakewood, CO",1802,590,1168,175076489,2812896,19740,Metropolitan Statistical Area
49,"Des Moines-West Des Moines, IA",577,2126,194,43066102,659522,19780,Metropolitan Statistical Area
5,"Detroit-Warren-Dearborn, MI",13449,1882,3291,224508971,4309673,19820,Metropolitan Statistical Area
80,"Dubuque, IA",292,0,62.5,5185679,96850,20220,Metropolitan Statistical Area
18,"Durham-Chapel Hill, NC",2744,4197,959.5,46232027,607706,20500,Metropolitan Statistical Area
73,"Flagstaff, AZ",364,35206,51.5,6251840,138962,22380,Metropolitan Statistical Area
55,"Fort Collins, CO",516,0,307,14784676,333303,22660,Metropolitan Statistical Area
60,"Greensboro-High Point, NC",477,58198,126,37580901,751285,24660,Metropolitan Statistical Area
78,"Harrisburg-Carlisle, PA",314,5794,118,34583787,564678,25420,Metropolitan Statistical Area
10,"Houston-The Woodlands-Sugar Land, TX",5865,1571,1773.166667,442705932,6671808,26420,Metropolitan Statistical Area
39,"Huntsville, AL",934,118706,172.5,23040190,444542,26620,Metropolitan Statistical Area
15,"Indianapolis-Carmel-Anderson, IN",4073,653,701.5,117079734,1986119,26900,Metropolitan Statistical Area
59,"Jacksonville, FL",485,3689,208,66187578,1444638,27260,Metropolitan Statistical Area
51,"Kalamazoo-Portage, MI",559,20276,99,11482438,259676,28020,Metropolitan Statistical Area
20,"Kansas City, MO-KS",2138,28095,540,115123305,2085913,28140,Metropolitan Statistical Area
45,"Lancaster, PA",708,706,147,24930839,535811,29540,Metropolitan Statistical Area
75,"Lexington-Fayette, KY",339,331705,184,25252450,501469,30460,Metropolitan Statistical Area
4,"Los Angeles-Long Beach-Anaheim, CA",15067,18116,5748,862381688,13234696,31080,Metropolitan Statistical Area
26,"Madison, WI",1470,1069077,465,43552448,640198,31540,Metropolitan Statistical Area
28,"Manchester-Nashua, NH",1432,0,389,23854124,408985,31700,Metropolitan Statistical Area
70,"Memphis, TN-MS-AR",380,313,268,64967085,1334790,32820,Metropolitan Statistical Area
68,"Midland, MI",394,0,58.5,4889900,83662,33220,Metropolitan Statistical Area
8,"Minneapolis-St. Paul-Bloomington, MN-WI",6155,886172,2849.5,222125886,3503728,33460,Metropolitan Statistical Area
65,"Nashville-Davidson-Murfreesboro-Franklin, TN",421,700157,209,106981712,1804671,34980,Metropolitan Statistical Area
54,"New Haven-Milford, CT",517,811285,506,46417757,860186,35300,Metropolitan Statistical Area
1,"New York-Newark-Jersey City, NY-NJ-PA",22389,19364,6763,1458928746,19320968,35620,Metropolitan Statistical Area
14,"Norwich-New London, CT",4271,2560,134,16467459,269636,35980,Metropolitan Statistical Area
46,"Ogden-Clearfield, UT",680,550,166,22956366,640334,36260,Metropolitan Statistical Area
64,"Omaha-Council Bluffs, NE-IA",423,178256,129,54340287,913073,36540,Metropolitan Statistical Area
43,"Orlando-Kissimmee-Sanford, FL",734,0,475,110079086,2388509,36740,Metropolitan Statistical Area
62,"Oshkosh-Neenah, WI",438,1703,108.6666667,8922124,169246,36780,Metropolitan Statistical Area
19,"Oxnard-Thousand Oaks-Ventura, CA",2274,2190,449,50480790,845802,37100,Metropolitan Statistical Area
37,"Palm Bay-Melbourne-Titusville, FL",965,14282,263,20787350,565746,37340,Metropolitan Statistical Area
29,"Peoria, IL",1422,1499,360,23781552,412856,37900,Metropolitan Statistical Area
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9757,1578880,2054.5,383559415,6056816,37980,Metropolitan Statistical Area
27,"Pittsburgh, PA",1445,1120285,820,132482240,2347757,38300,Metropolitan Statistical Area
9,"Portland-Vancouver-Hillsboro, OR-WA",6141,2799,2354.5,131593194,2381660,38900,Metropolitan Statistical Area
38,"Providence-Warwick, RI-MA",958,4108,422,75956484,1612928,39300,Metropolitan Statistical Area
48,"Provo-Orem, UT",621,39398,409,20564945,583218,39340,Metropolitan Statistical Area
74,"Pueblo, CO",350,230,21,5633254,163006,39380,Metropolitan Statistical Area
56,"Richmond, VA",516,229802,222,72812083,1246665,40060,Metropolitan Statistical Area
41,"Riverside-San Bernardino-Ontario, CA",778,187067,458,149872535,4461227,40140,Metropolitan Statistical Area
34,"Rochester, NY",1149,391001,682,55975600,1077092,40380,Metropolitan Statistical Area
71,"Rockford, IL",378,0,133,14182983,340727,40420,Metropolitan Statistical Area
12,"St. Louis, MO-IL",5007,770304,791,147639705,2807503,41180,Metropolitan Statistical Area
21,"Salt Lake City, UT",1862,518928,504,75134019,1164912,41620,Metropolitan Statistical Area
53,"San Antonio-New Braunfels, TX",525,1562,355.6666667,111652985,2379232,41700,Metropolitan Statistical Area
0,"San Jose-Sunnyvale-Santa Clara, CA",48861,1070501,13168,254023744,1974501,41940,Metropolitan Statistical Area
77,"Santa Cruz-Watsonville, CA",314,151713,333,13166978,273503,42100,Metropolitan Statistical Area
57,"Santa Maria-Santa Barbara, CA",505,317,439,26252102,442229,42200,Metropolitan Statistical Area
81,"Savannah, GA",291,1801,57,17673576,377827,42340,Metropolitan Statistical Area
3,"Seattle-Tacoma-Bellevue, WA",16135,1198290,5462,304333821,3739654,42660,Metropolitan Statistical Area
58,"Syracuse, NY",498,127941,211,35936306,657648,45060,Metropolitan Statistical Area
36,"Tampa-St. Petersburg-Clearwater, FL",992,494510,583,129796986,2983928,45300,Metropolitan Statistical Area
35,"Tucson, AZ",1085,606219,598,36108903,1009103,46060,Metropolitan Statistical Area
67,"Virginia Beach-Norfolk-Newport News, VA-NC",404,190393,148,87340416,1756340,47260,Metropolitan Statistical Area
13,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4980,1534891,2188.833333,454378772,6093950,47900,Metropolitan Statistical Area
79,"Waterloo-Cedar Falls, IA",308,4032,39,9164715,170852,47940,Metropolitan Statistical Area
52,"Wichita, KS",556,59940,107,29489153,635551,48620,Metropolitan Statistical Area
40,"Worcester, MA-CT",902,1661,617.5,43037783,934604,49340,Metropolitan Statistical Area
